Yr,CO2 filled [ppm]
1969,326.6191666666666
1970,326.9741666666667
1971,327.68583333333333
1972,328.68666666666667
1973,329.95
1974,331.97833333333335
1975,332.67249999999996
1976,333.65
1977,335.59666666666664
1978,337.1325
1979,339.17499999999995
1980,339.6916666666667
1981,341.1816666666667
1982,342.0758333333333
1983,343.60083333333336
1984,345.675
1985,346.5741666666666
1986,348.10833333333335
1987,349.7775
1988,352.41833333333335
1989,353.3808333333333
1990,354.84499999999997
1991,356.56333333333333
1992,356.74166666666673
1993,357.68000000000006
1994,359.4708333333333
1995,361.16499999999996
1996,363.01
1997,364.11416666666656
1998,366.8425
1999,368.7525
2000,369.78
2001,371.37500000000006
2002,373.16249999999997
2003,376.05999999999995
2004,377.8975
2005,379.75083333333333
2006,382.88416666666666
2007,384.4966666666667
2008,386.2991666666667
2009,387.3158333333334
2010,389.7383333333333
2011,392.2633333333333
2012,394.80999999999995
2013,397.5166666666667
2014,400.08833333333337
2015,402.1091666666666
2016,405.05333333333334
2017,407.9508333333333
2018,409.7058333333334
2019,412.7425
