Year,Mean Temp (C)
1969,16.416666666666668
1970,15.416666666666666
1971,15.583333333333334
1972,16.666666666666668
1973,16.416666666666668
1974,18.0
1975,18.25
1976,17.416666666666668
1977,17.583333333333332
1978,17.666666666666668
1979,19.083333333333332
1980,16.178833333333333
1981,16.360666666666667
1982,15.576999999999998
1983,16.182
1984,15.513083333333334
1985,15.96716666666667
1986,15.160000000000002
1987,16.52716666666667
1988,16.356083333333334
1989,16.4555
1990,16.294166666666666
1991,16.623166666666666
1992,17.008666666666667
1993,15.954500000000001
1994,16.795416666666668
1995,17.03075
1996,16.129166666666666
1997,16.590666666666667
1998,16.19333333333333
1999,16.465083333333336
2000,16.50125
2001,16.685333333333332
2002,16.127333333333333
2003,17.332666666666668
2004,16.85625
2005,16.44783333333333
2006,16.85108333333333
2007,17.199333333333332
2008,17.459250000000004
2009,16.21175
2010,16.177000000000003
2011,16.900083333333335
2012,16.37416666666667
2013,16.37275
2014,17.10016666666667
2015,16.840666666666667
2016,16.9275
2017,17.231583333333333
2018,16.80275
2019,17.211083333333335
