,MSL,CO2 filled [ppm]
0,-0.21000000000000002,
1,-0.148,
2,-0.122,
3,-0.14883333333333335,
4,-0.129,
5,-0.11824999999999998,
6,-0.11275000000000002,
7,-0.11033333333333334,
8,-0.13066666666666665,
9,-0.17833333333333334,
10,-0.15108333333333332,
11,-0.15275,
12,-0.13441666666666668,
13,-0.12491666666666668,
14,-0.13883333333333334,
15,-0.10708333333333331,
16,-0.09891666666666667,
17,-0.06166666666666667,
18,-0.11083333333333333,
19,-0.11675,
20,-0.11741666666666668,
21,-0.11375000000000003,
22,-0.104,
23,-0.11058333333333333,
24,-0.10866666666666669,
25,-0.12116666666666669,
26,-0.12858333333333336,
27,-0.08325,
28,-0.09416666666666666,
29,-0.10783333333333332,
30,-0.1815,
31,-0.1255,
32,-0.049916666666666686,
33,-0.030333333333333337,
34,-0.026416666666666668,
35,-0.10025,
36,-0.11191666666666668,
37,-0.11908333333333332,
38,-0.06016666666666668,
39,-0.12025000000000001,
40,-0.05541666666666668,
41,-0.04499999999999999,
42,-0.02666666666666667,
43,-0.06458333333333334,
44,-0.038,
45,-0.06958333333333334,
46,-0.09683333333333337,
47,-0.024833333333333332,
48,-0.09699999999999999,
49,-0.07158333333333333,
50,-0.10108333333333334,
51,-0.037583333333333344,
52,-0.06058333333333334,
53,-0.039166666666666676,
54,-0.044250000000000005,
55,-0.03616666666666667,
56,-0.03791666666666667,
57,-0.002083333333333334,
58,0.056833333333333326,
59,0.0030833333333333338,
60,-0.03808333333333333,
61,-0.020333333333333335,
62,-0.0014166666666666661,
63,-0.04066666666666666,
64,-0.026916666666666672,
65,0.019083333333333334,
66,0.010916666666666667,
67,0.05683333333333334,
68,0.026083333333333337,
69,-0.02283333333333333,
70,-0.01041666666666667,
71,-0.018333333333333337,
72,0.08566666666666667,
73,0.02608333333333333,
74,-0.04791666666666666,
75,-0.025333333333333336,
76,-0.029,
77,-0.021916666666666668,
78,0.002333333333333332,
79,0.023500000000000004,
80,0.017750000000000002,
81,0.00325,
82,-0.025249999999999998,
83,0.0016666666666666707,
84,0.013166666666666669,
85,-0.009272727272727273,
86,0.0072499999999999995,
87,0.041916666666666665,
88,0.024999999999999998,
89,0.08141666666666668,
90,0.12316666666666666,
91,0.03633333333333335,
92,0.028166666666666673,
93,0.038,
94,0.026500000000000003,
